subj size,subj type,subj param,query start,query size,direct set,query type,container mode,init time,warmup time,total query time,run count,average time,success
100,exponential,3,4,1,true,all,ordered,54181,12255,13799,20,689,OK
100,exponential,3,4,1,true,all,unordered,48026,11174,12986,20,649,OK
100,exponential,3,4,1,true,sel,any,57770,14553,19509,20,975,OK
100,exponential,3,4,1,true,sel,ordered,54897,13068,13906,20,695,OK
100,exponential,3,4,1,true,sel,unordered,49814,11198,12900,20,645,OK
100,exponential,3,4,1,true,shuffle,any,52558,12203,16178,20,808,OK
100,exponential,3,4,1,true,shuffle,unordered,48999,11543,13031,20,651,OK
100,exponential,3,4,5,false,all,any,60041,16204,23031,20,1151,OK
100,exponential,3,4,5,false,all,exact,52013,15278,16278,20,813,OK
100,exponential,3,4,5,false,all,ordered,51808,15176,17351,20,867,OK
100,exponential,3,4,5,false,all,unordered,48649,14081,17152,20,857,OK
100,exponential,3,4,5,false,sel,any,52880,14639,20396,20,1019,OK
100,exponential,3,4,5,false,sel,ordered,55262,15105,17662,20,883,OK
100,exponential,3,4,5,false,sel,unordered,49914,13995,16828,20,841,OK
100,exponential,3,4,5,false,shuffle,any,56333,16298,12140,20,607,OK
100,exponential,3,4,5,false,shuffle,unordered,49660,14374,17307,20,865,OK
100,exponential,3,4,5,true,all,any,60462,20463,17015,20,850,OK
100,exponential,3,4,5,true,all,exact,50874,14571,16471,20,823,OK
100,exponential,3,4,5,true,all,ordered,53042,15653,17348,20,867,OK
100,exponential,3,4,5,true,all,unordered,49322,14181,17493,20,874,OK
100,exponential,3,4,5,true,sel,any,60752,16918,19522,20,976,OK
100,exponential,3,4,5,true,sel,ordered,56518,16715,18505,20,925,OK
100,exponential,3,4,5,true,sel,unordered,49516,13788,16662,20,833,OK
100,exponential,3,4,5,true,shuffle,any,65041,18939,16430,20,821,OK
100,exponential,3,4,5,true,shuffle,unordered,50412,14044,16844,20,842,OK
100,exponential,6,0,10,false,all,any,61891,16591,17239,20,861,OK
100,exponential,6,0,10,false,all,exact,52780,14841,18646,20,932,OK
100,exponential,6,0,10,false,all,ordered,55332,16624,22559,20,1127,OK
100,exponential,6,0,10,false,all,unordered,50243,14613,21199,20,1059,OK
100,exponential,6,0,10,false,shuffle,any,59133,19262,20982,20,1049,OK
100,exponential,6,0,10,false,shuffle,unordered,49850,14614,20680,20,1034,OK
100,exponential,6,0,10,true,all,any,56713,15272,16264,20,813,OK
100,exponential,6,0,10,true,all,exact,51936,14772,18921,20,946,OK
100,exponential,6,0,10,true,all,ordered,60113,19481,23298,20,1164,OK
100,exponential,6,0,10,true,all,unordered,50320,14523,21046,20,1052,OK
100,exponential,6,0,10,true,shuffle,any,53636,14343,17358,20,867,OK
100,exponential,6,0,10,true,shuffle,unordered,50278,14469,20730,20,1036,OK
100,exponential,6,0,1,false,all,any,57155,13598,14405,20,720,OK
100,exponential,6,0,1,false,all,exact,51953,11603,13528,20,676,OK
100,exponential,6,0,1,false,all,ordered,55851,13620,13729,20,686,OK
100,exponential,6,0,1,false,all,unordered,49340,11136,13219,20,660,OK
100,exponential,6,0,1,false,sel,any,62933,13596,14812,20,740,OK
100,exponential,6,0,1,false,sel,ordered,79665,15082,16744,20,837,OK
100,exponential,6,0,1,false,sel,unordered,48925,11034,13495,20,674,OK
100,exponential,6,0,1,false,shuffle,any,58800,17691,15739,20,786,OK
100,exponential,6,0,1,false,shuffle,unordered,49968,11173,12837,20,641,OK
100,exponential,6,0,1,true,all,any,66760,18264,15933,20,796,OK
100,exponential,6,0,1,true,all,exact,50452,11581,13603,20,680,OK
100,exponential,6,0,1,true,all,ordered,64055,13150,26575,20,1328,OK
100,exponential,6,0,1,true,all,unordered,48966,10975,12672,20,633,OK
100,exponential,6,0,1,true,sel,any,65163,18371,15641,20,782,OK
100,exponential,6,0,1,true,sel,ordered,54432,11873,15733,20,786,OK
100,exponential,6,0,1,true,sel,unordered,49454,11146,12981,20,649,OK
100,exponential,6,0,1,true,shuffle,any,52536,12125,15867,20,793,OK
100,exponential,6,0,1,true,shuffle,unordered,49570,11235,13489,20,674,OK
100,exponential,6,0,5,false,all,any,57187,16327,18048,20,902,OK
100,exponential,6,0,5,false,all,exact,53401,15296,16070,20,803,OK
100,exponential,6,0,5,false,all,ordered,55608,16609,19238,20,961,OK
100,exponential,6,0,5,false,all,unordered,49969,14542,17383,20,869,OK
100,exponential,6,0,5,false,sel,any,59852,15223,17871,20,893,OK
100,exponential,6,0,5,false,sel,ordered,55582,16489,19303,20,965,OK
100,exponential,6,0,5,false,sel,unordered,49130,13998,16811,20,840,OK
100,exponential,6,0,5,false,shuffle,any,63262,17333,21616,20,1080,OK
100,exponential,6,0,5,false,shuffle,unordered,49435,13895,17016,20,850,OK
100,exponential,6,0,5,true,all,any,64695,16070,15775,20,788,OK
100,exponential,6,0,5,true,all,exact,52186,14475,17280,20,864,OK
100,exponential,6,0,5,true,all,ordered,56508,16702,19662,20,983,OK
100,exponential,6,0,5,true,all,unordered,50020,13896,16453,20,822,OK
100,exponential,6,0,5,true,sel,any,59697,18889,23013,20,1150,OK
100,exponential,6,0,5,true,sel,ordered,56168,16669,19561,20,978,OK
100,exponential,6,0,5,true,sel,unordered,50040,14102,17547,20,877,OK
100,exponential,6,0,5,true,shuffle,any,57613,15441,16274,20,813,OK
100,exponential,6,0,5,true,shuffle,unordered,49271,14090,16322,20,816,OK
100,exponential,6,1,10,false,all,any,52783,14514,16181,20,809,OK
100,exponential,6,1,10,false,all,exact,54375,15545,18245,20,912,OK
